TABLE_DUMP2|1444492801|B|202.249.2.83|2500|130.69.0.0/16|2500 2501 2501|IGP|202.249.2.83|0|500||NAG||
TABLE_DUMP2|1444492801|B|202.249.2.86|7500|130.69.0.0/16|7500 2497 2907 2501|IGP|202.249.2.169|0|0||NAG||
TABLE_DUMP2|1444492801|B|202.249.2.169|2497|130.69.0.0/16|2497 2907 2501|IGP|202.249.2.169|0|0||NAG||
TABLE_DUMP2|1444492801|B|202.249.2.83|2500|133.11.0.0/16|2500 2501 2501|IGP|202.249.2.83|0|500||NAG||
TABLE_DUMP2|1444492801|B|202.249.2.86|7500|133.11.0.0/16|7500 2497 2907 2501|IGP|202.249.2.169|0|0||NAG||
TABLE_DUMP2|1444492801|B|202.249.2.169|2497|133.11.0.0/16|2497 2907 2501|IGP|202.249.2.169|0|0||NAG||
TABLE_DUMP2|1444492801|B|202.249.2.83|2500|157.82.0.0/16|2500 2501 2501|IGP|202.249.2.83|0|500||NAG||
TABLE_DUMP2|1444492801|B|202.249.2.86|7500|157.82.0.0/16|7500 2497 2907 2501|IGP|202.249.2.169|0|0||NAG||
TABLE_DUMP2|1444492801|B|202.249.2.169|2497|157.82.0.0/16|2497 2907 2501|IGP|202.249.2.169|0|0||NAG||
TABLE_DUMP2|1444492801|B|202.249.2.83|2500|192.51.208.0/20|2500 2501 2501|IGP|202.249.2.83|0|500||AG|2501 133.11.255.159|
TABLE_DUMP2|1444492801|B|202.249.2.86|7500|192.51.208.0/20|7500 2497 2907 2501|IGP|202.249.2.169|0|0||AG|2501 133.11.255.159|
TABLE_DUMP2|1444492801|B|202.249.2.169|2497|192.51.208.0/20|2497 2907 2501|IGP|202.249.2.169|0|0||AG|2501 133.11.255.159|
